id,title,wikipedia_url,birth_date,death_date,influenced_by,influenced,period_life,school_teaching
746977,"Маритен, Жак",https://ru.wikipedia.org/wiki/Маритен%2C_Жак,,,,,,
748642,"Уайтхед, Альфред Норт",https://ru.wikipedia.org/wiki/Уайтхед%2C_Альфред_Норт,,,,,,
748835,Карпократ,https://ru.wikipedia.org/wiki/Карпократ,1-е тысячелетие,138,,,,
748961,"Бойко, Михаил Евгеньевич",https://ru.wikipedia.org/wiki/Бойко%2C_Михаил_Евгеньевич,17 мая 1979(1979-05-17) (45 лет),,,,,
750148,"Гомес Давила, Николас",https://ru.wikipedia.org/wiki/Гомес_Давила%2C_Николас,,,,,,
750213,"Тейшейра, Луиш Филипе",https://ru.wikipedia.org/wiki/Тейшейра%2C_Луиш_Филипе,3 ноября 1959(1959-11-03) (65 лет),,,,,
753002,"Остин, Джон Лэнгшо",https://ru.wikipedia.org/wiki/Остин%2C_Джон_Лэнгшо,26 марта 1911(1911-03-26),8 февраля 1960(1960-02-08) (48 лет),Аристотель[2],,,
753058,"Абихт, Иоганн Генрих",https://ru.wikipedia.org/wiki/Абихт%2C_Иоганн_Генрих,4 мая 1762(1762-05-04),28 апреля 1816(1816-04-28) (53 года),,,,
760434,"Саватер, Фернандо",https://ru.wikipedia.org/wiki/Саватер%2C_Фернандо,,,,,,
761653,"Штраус, Лео",https://ru.wikipedia.org/wiki/Штраус%2C_Лео,20 сентября 1899(1899-09-20),18 октября 1973(1973-10-18) (74 года),"Платон, Мартин Хайдеггер[2], Бенедикт Спиноза, Александр Кожев и Владимир Евгеньевич Жаботинский",,Философия XX века,"Консерватизм, платонизм"
762500,"Зусман, Самуил Соломонович",https://ru.wikipedia.org/wiki/Зусман%2C_Самуил_Соломонович,8 августа 1880(1880-08-08)[1][2],не ранее 1937[1][2],,,,
763192,Ли Сы,https://ru.wikipedia.org/wiki/Ли_Сы,,,,,,
